symboling,wheel-base,length,width,curb-weight,engine-size,bore,horsepower,peak-rpm,price,city-L/100km,highway-L/100km,horsepower-binned,cylinders_identity
3,88.6,0.8111484863046613,0.8902777777777777,2548,130,3.47,111,5000.0,13495,11.19047619047619,8.703703703703704,low,1
3,88.6,0.8111484863046613,0.8902777777777777,2548,130,3.47,111,5000.0,16500,11.19047619047619,8.703703703703704,low,1
1,94.5,0.8226814031715521,0.9097222222222222,2823,152,2.68,154,5000.0,16500,12.368421052631579,9.038461538461538,medium,2
2,99.8,0.8486304661220567,0.9194444444444445,2337,109,3.19,102,5500.0,13950,9.791666666666666,7.833333333333333,low,1
2,99.4,0.8486304661220567,0.9222222222222223,2824,136,3.19,115,5500.0,17450,13.055555555555555,10.681818181818182,low,3
2,99.8,0.8519942335415667,0.9208333333333333,2507,136,3.19,110,5500.0,15250,12.368421052631579,9.4,low,3
1,105.8,0.9259971167707832,0.9916666666666667,2844,136,3.19,110,5500.0,17710,12.368421052631579,9.4,low,3
1,105.8,0.9259971167707832,0.9916666666666667,2954,136,3.19,110,5500.0,18920,12.368421052631579,9.4,low,3
1,105.8,0.9259971167707832,0.9916666666666667,3086,131,3.13,140,5500.0,23875,13.823529411764707,11.75,medium,3
2,101.2,0.849591542527631,0.8999999999999999,2395,108,3.5,101,5800.0,16430,10.217391304347826,8.10344827586207,low,1
0,101.2,0.849591542527631,0.8999999999999999,2395,108,3.5,101,5800.0,16925,10.217391304347826,8.10344827586207,low,1
0,101.2,0.849591542527631,0.8999999999999999,2710,164,3.31,121,4250.0,20970,11.19047619047619,8.392857142857142,medium,2
0,101.2,0.849591542527631,0.8999999999999999,2765,164,3.31,121,4250.0,21105,11.19047619047619,8.392857142857142,medium,2
1,103.5,0.9082172032676598,0.9291666666666667,3055,164,3.31,121,4250.0,24565,11.75,9.4,medium,2
0,103.5,0.9082172032676598,0.9291666666666667,3230,209,3.62,182,5400.0,30760,14.6875,10.681818181818182,medium,2
0,103.5,0.9312830370014417,0.9430555555555556,3380,209,3.62,182,5400.0,41315,14.6875,10.681818181818182,medium,2
0,110.0,0.9466602594906295,0.9847222222222223,3505,209,3.62,182,5400.0,36880,15.666666666666666,11.75,medium,2
2,88.4,0.6780394041326285,0.8374999999999999,1488,61,2.91,48,5100.0,5151,5.0,4.433962264150943,low,4
1,94.5,0.7491590581451226,0.8833333333333333,1874,90,3.03,70,5400.0,6295,6.184210526315789,5.465116279069767,low,1
0,94.5,0.7630946660259491,0.8833333333333333,1909,90,3.03,70,5400.0,6575,6.184210526315789,5.465116279069767,low,1
1,93.7,0.7558865929841423,0.8861111111111111,1876,90,2.97,68,5500.0,5572,6.351351351351352,5.7317073170731705,low,1
1,93.7,0.7558865929841423,0.8861111111111111,1876,90,2.97,68,5500.0,6377,7.580645161290323,6.184210526315789,low,1
1,93.7,0.7558865929841423,0.8861111111111111,2128,98,3.03,102,5500.0,7957,9.791666666666666,7.833333333333333,low,1
1,93.7,0.7558865929841423,0.8861111111111111,1967,90,2.97,68,5500.0,6229,7.580645161290323,6.184210526315789,low,1
1,93.7,0.7558865929841423,0.8861111111111111,1989,90,2.97,68,5500.0,6692,7.580645161290323,6.184210526315789,low,1
1,93.7,0.7558865929841423,0.8861111111111111,1989,90,2.97,68,5500.0,7609,7.580645161290323,6.184210526315789,low,1
1,93.7,0.7558865929841423,0.8861111111111111,2191,98,3.03,102,5500.0,8558,9.791666666666666,7.833333333333333,low,1
-1,103.3,0.8390197020663143,0.8972222222222221,2535,122,3.34,88,5000.0,8921,9.791666666666666,7.833333333333333,low,1
3,95.9,0.8322921672272945,0.9208333333333333,2811,156,3.6,145,5000.0,12964,12.368421052631579,9.791666666666666,medium,1
2,86.6,0.6948582412301778,0.8875,1713,92,2.91,58,4800.0,6479,4.795918367346939,4.351851851851852,low,1
2,86.6,0.6948582412301778,0.8875,1819,92,2.91,76,6000.0,6855,7.580645161290323,6.184210526315789,low,1
1,93.7,0.7208073041806824,0.8888888888888888,1837,79,2.91,60,5500.0,5399,6.184210526315789,5.595238095238095,low,1
1,93.7,0.7208073041806824,0.8888888888888888,1940,92,2.91,76,6000.0,6529,7.833333333333333,6.911764705882353,low,1
